,1,2,3,4,5,6,7,8,9,10
"The Hunger Games (The Hunger Games, #1)",17,507,20,3712,4720,1531,12,717,280,91
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",18,23,24,27,25,3753,21,2101,422,3275
"Twilight (Twilight, #1)",49,52,992,834,2021,220,56,3075,636,1619
To Kill a Mockingbird,265,32,42,66,116,58,87,93,225,5
The Great Gatsby,8,32,4,483,28,63,736,65,899,95
The Fault in Our Stars,12,1767,987,993,4950,112,17,3655,8180,8139
The Hobbit,189,155,161,19,964,2125,4445,466,2230,103
The Catcher in the Rye,5,28,32,2601,483,715,14,456,4,401
"Angels & Demons  (Robert Langdon, #1)",26,170,145,201,4496,240,6192,2822,3277,768
Pride and Prejudice,171,230,451,42,76,471,43,66,93,109
The Kite Runner,67,33,57,46,150,47,31,273,8021,5932
"Divergent (Divergent, #1)",69,2457,7672,17,5393,1045,507,20,8041,1197
1984,55,48,809,14,846,65,173,95,297,28
Animal Farm,28,846,48,13,95,55,32,65,298,271
The Diary of a Young Girl,87,513,4,317,241,42,762,472,1815,93
"The Girl with the Dragon Tattoo (Millennium, #1)",140,98,2272,1173,5819,1176,209,7752,274,431
"Catching Fire (The Hunger Games, #2)",1,20,507,12,69,91,717,280,5308,4720
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",24,27,2,25,23,3753,21,2101,422,3275
"The Fellowship of the Ring (The Lord of the Rings, #1)",161,155,189,7,964,466,2125,4445,2230,3120
"Mockingjay (The Hunger Games, #3)",17,1,507,12,69,280,91,525,717,2377
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",27,24,23,25,18,2,3753,2101,422,3275
The Lovely Bones,4318,111,38,30,6213,801,300,515,124,885
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",24,27,18,2,25,21,3753,2101,422,3275
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",27,23,18,25,2,3753,21,2101,422,3275
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",27,24,18,23,2,3753,21,2101,422,3275
"The Da Vinci Code (Robert Langdon, #2)",9,145,170,201,4496,240,123,6192,5080,227
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",24,25,18,23,2,3753,21,2101,422,3275
Lord of the Flies,32,14,48,95,2601,730,8,846,271,4
Romeo and Juliet,353,387,125,154,770,839,714,248,456,715
Gone Girl,226,61,124,262,304,1176,244,209,46,404
The Help,57,482,4469,333,2872,2114,67,734,33,46
Of Mice and Men,28,131,730,4,225,14,58,116,5,2601
Memoirs of a Geisha,66,734,5648,142,1961,273,57,186,148,11
"Fifty Shades of Grey (Fifty Shades, #1)",96,99,843,334,218,796,3081,2483,1104,1143
The Alchemist,723,1206,1847,5318,2521,2902,1152,4748,2567,5583
"The Giver (The Giver, #1)",241,77,184,50,9974,117,1196,4,87,856
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",292,347,602,542,641,332,5229,219,3795,2957
The Time Traveler's Wife,33,1018,68,5254,4182,2382,1171,47,1964,417
"A Game of Thrones (A Song of Ice and Fire, #1)",110,135,165,1995,1496,2527,188,3282,3775,4708
"Eat, Pray, Love",261,2015,659,723,3211,114,35,3443,3516,329
"The Lightning Thief (Percy Jackson and the Olympians, #1)",151,214,159,175,3220,2420,4911,163,294,9740
"Little Women (Little Women, #1)",93,66,10,540,109,650,204,4,116,265
Jane Eyre,76,10,230,171,471,1088,1771,42,451,4
"The Notebook (The Notebook, #1)",152,107,420,571,716,622,686,552,169,683
Life of Pi,11,523,378,809,326,225,196,48,1310,587
Water for Elephants,67,11,333,567,31,33,150,1131,57,273
The Book Thief,300,3206,1256,5589,67,1159,3772,33,5587,68
Fahrenheit 451,55,13,846,14,65,809,95,271,28,298
"New Moon (Twilight, #2)",52,3,992,834,2021,220,56,3075,732,636
Where the Sidewalk Ends,278,85,8455,157,786,545,4862,6298,59,184
"City of Bones (The Mortal Instruments, #1)",153,134,309,319,607,1754,183,351,9190,6977
"Eclipse (Twilight, #3)",49,3,992,834,2021,220,3075,56,732,636
"Eragon (The Inheritance Cycle, #1)",447,345,648,5414,1634,4233,3636,4603,923,3182
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",337,599,751,5072,1800,1014,1727,1074,297,1042
Brave New World,48,13,809,846,65,14,95,2187,360,173
"Breaking Dawn (Twilight, #4)",52,49,3,992,2021,220,834,636,3075,1619
The Secret Life of Bees,409,31,515,273,33,1185,2939,11,1597,118
The Adventures of Huckleberry Finn,116,375,83,293,1178,32,413,204,778,4
Charlotte's Web,158,93,545,184,335,245,444,868,999,1222
The Curious Incident of the Dog in the Night-Time,557,1678,538,5535,9813,564,860,9785,2540,4934
The Girl on the Train,2530,811,4900,2216,1433,939,262,3466,1508,2617
"The Golden Compass (His Dark Materials, #1)",368,480,937,918,1591,1530,1196,9424,5414,5632
Wuthering Heights,160,83,5,66,109,10,42,171,778,29
My Sister's Keeper,381,112,328,331,44,1749,107,156,1842,57
Slaughterhouse-Five,297,113,55,48,846,405,13,14,95,1074
Gone with the Wind,42,650,33,4,93,10,265,734,109,540
A Thousand Splendid Suns,11,46,47,8021,5932,33,31,4491,150,1131
The Perks of Being a Wallflower,74,564,47,147,4965,178,38,1843,2161,88
"Insurgent (Divergent, #2)",12,105,7672,5393,2457,8041,1045,3285,280,1197
"Ender's Game (Ender's Saga, #1)",760,7113,322,8294,192,377,877,1678,2655,307
Frankenstein,390,97,1354,95,529,1204,597,2370,58,83
The Shining (The Shining #1),349,176,243,237,670,1292,209,553,168,739
"The Host (The Host, #1)",6136,3,4088,52,4845,5251,49,834,166,7170
Looking for Alaska,275,88,4166,68,564,147,1767,3919,1087,5320
"Bridget Jones's Diary (Bridget Jones, #1)",78,1111,228,2610,136,1457,1468,465,455,156
Sense and Sensibility,471,43,230,10,171,451,4653,1771,2499,42
"Holes (Holes, #1)",245,241,793,59,853,321,158,999,738,707
"The Devil Wears Prada (The Devil Wears Prada, #1)",228,1430,75,2610,136,156,455,2546,1111,647
The Odyssey,341,2142,1280,1167,977,984,2366,4149,5940,3022
The Little Prince,102,877,257,229,335,416,518,50,178,561
The Glass Castle,179,1068,3561,317,7131,8843,2363,4527,87,737
Into the Wild,179,236,181,1586,9100,316,5833,6251,81,878
A Tale of Two Cities,160,361,590,5907,204,58,116,109,778,650
"Jurassic Park (Jurassic Park, #1)",1117,487,693,70,760,1448,209,274,2594,640
The Giving Tree,157,358,50,545,278,364,391,102,549,251
A Time to Kill,123,227,281,343,1388,596,963,1057,833,521
Night (The Night Trilogy #1),15,4,1815,513,241,271,4043,762,317,472
Paper Towns,74,275,564,2908,6,68,1244,147,3919,3372
The Princess Bride ,817,1322,877,792,8210,4902,6898,7401,9308,6756
The Outsiders,4,87,271,4965,5260,7840,77,245,32,3169
"The Maze Runner (Maze Runner, #1)",259,376,327,12,946,6901,5662,2799,7057,69
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",127,193,1069,8084,1371,4699,3227,211,398,4341
The Secret Garden,540,42,59,346,639,497,8740,518,133,1253
One Hundred Years of Solitude,1853,233,3387,2419,3903,5116,669,95,597,6818
The Picture of Dorian Gray,97,1354,390,14,48,298,1204,71,65,1327
"Fifty Shades Freed (Fifty Shades, #3)",34,99,843,334,218,1104,1143,796,1981,3081
Dracula,390,1354,95,71,1204,2370,1327,529,298,4183
"The Girl Who Played with Fire (Millennium, #2)",140,16,2272,1173,5819,7752,5302,3010,459,9444
"Fifty Shades Darker (Fifty Shades, #2)",34,96,843,334,3081,1104,218,1143,2106,3863
The Poisonwood Bible,33,265,57,47,734,118,468,317,11,148
Me Talk Pretty One Day,344,534,372,943,2579,1923,8045,106,1839,2770
Where the Wild Things Are,888,85,157,545,905,296,391,335,364,1348
The Count of Monte Cristo,413,109,116,204,778,1327,1953,361,95,375
The Road,13,948,2079,2975,6454,4100,1462,9287,6256,1319
"Allegiant (Divergent, #3)",69,12,5393,7672,3285,1045,8041,7975,2457,2799
Bossypants,290,1044,352,1942,3885,3822,4824,8515,2335,852
A Walk to Remember,44,152,420,571,169,716,622,552,269,686
"Confessions of a Shopaholic (Shopaholic, #1)",955,1063,952,1436,78,308,228,777,2581,411
Les Misérables,778,42,103,204,83,1064,413,650,1178,93
"A Clash of Kings  (A Song of Ice and Fire, #2)",135,165,39,1496,1995,188,3298,3775,2527,7127
The Memory Keeper's Daughter,57,5925,414,273,9627,381,2820,1231,1131,1317
"Me Before You (Me Before You, #1)",940,1568,2450,64,438,1499,318,1130,939,262
Catch-22,65,264,395,1161,32,130,225,297,14,131
Tuesdays with Morrie,784,132,1440,199,329,1897,7849,6829,9482,6348
Middlesex,2124,948,930,662,919,9990,476,704,378,638
The Adventures of Tom Sawyer,58,375,413,1178,204,293,103,935,1650,361
