,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"The Hunger Games (The Hunger Games, #1)",12,717,280,91,5308,3337,4193,2377,6722,525,8577,69,4226,327,422
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",18,3753,422,469,9048,6141,1286,3054,6009,7888,1,3739,1531,3712,4415
"Twilight (Twilight, #1)",992,220,3075,636,1109,1609,954,3854,9486,2749,1737,9936,9500,6052,9106
To Kill a Mockingbird,265,32,42,66,116,58,87,93,225,5,15,1094,650,540,468
The Great Gatsby,8,32,4,483,28,63,736,65,899,95,468,523,387,715,456
The Fault in Our Stars,12,1767,987,993,4950,112,17,3655,8180,8139,5875,1,1192,475,507
The Hobbit,2125,4445,466,2230,103,3120,518,1695,1327,413,4275,95,192,116,97
The Catcher in the Rye,5,28,32,2601,715,14,456,4,401,130,736,95,264,1186,58
"Angels & Demons  (Robert Langdon, #1)",6192,2822,3277,768,6690,2989,5564,5080,7775,123,726,1150,6907,7761,3537
Pride and Prejudice,171,230,451,42,76,471,43,66,93,109,997,83,204,2499,160
The Kite Runner,33,57,46,150,47,31,273,8021,5932,118,515,1131,1597,2114,45
"Divergent (Divergent, #1)",17,507,20,91,1,280,525,259,5308,2377,2799,206,4705,327,6
1984,55,48,809,14,846,65,173,95,297,28,360,298,637,2187,271
Animal Farm,28,846,48,13,95,55,32,65,298,271,809,71,225,130,529
The Diary of a Young Girl,87,513,4,317,241,42,762,472,1815,93,4043,800,6884,59,7297
"The Girl with the Dragon Tattoo (Millennium, #1)",1173,5819,1176,209,7752,274,431,417,6516,5302,459,8407,222,3010,3807
"Catching Fire (The Hunger Games, #2)",12,69,91,717,280,5308,4193,6722,525,7448,4705,2377,2799,6270,6
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",24,27,2,25,23,3753,21,2101,422,3275,469,9048,1286,6141,3054
"The Fellowship of the Ring (The Lord of the Rings, #1)",466,2125,4445,2230,3120,103,4229,518,877,1629,4410,95,4182,935,192
"Mockingjay (The Hunger Games, #3)",12,69,280,91,525,717,2377,5308,259,2799,6722,4226,4705,376,6805
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",18,3753,422,3054,9048,469,6141,1286,6428,1,7888,6009,3712,507,7443
The Lovely Bones,4318,111,38,30,6213,801,300,515,124,885,1843,64,132,8095,60
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",18,3753,422,469,1286,9048,3054,6141,6009,7888,3712,399,1,6428,1531
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",18,3753,422,469,9048,1286,3054,6141,6009,7888,1,3712,6428,1531,399
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",18,3753,422,9048,469,6141,1286,3054,399,6009,7888,1,6428,3712,3302
"The Da Vinci Code (Robert Langdon, #2)",123,6192,5080,227,6690,281,86,222,1150,5564,2989,768,726,3277,2822
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",18,3753,422,469,9048,1286,3054,6141,6009,7888,1,3712,1531,6428,399
Lord of the Flies,32,14,48,95,2601,730,8,846,271,4,5,55,65,58,13
Romeo and Juliet,353,387,125,154,770,839,714,248,456,715,855,1885,1186,3948,824
Gone Girl,61,124,262,304,1176,209,46,404,2272,1586,6213,801,975,7265,4900
The Help,57,482,4469,333,2872,2114,67,734,33,46,437,7708,409,11,567
Of Mice and Men,28,4,14,58,116,5,650,375,48,130,846,395,271,113,1094
Memoirs of a Geisha,66,734,5648,142,1961,273,57,186,148,11,1597,6951,3772,118,47
"Fifty Shades of Grey (Fifty Shades, #1)",334,218,796,3081,2483,1143,2106,2333,2749,3863,7682,3701,3004,1036,1295
The Alchemist,723,1847,2902,1152,4748,2567,5583,5622,114,45,132,180,5581,9431,9181
"The Giver (The Giver, #1)",77,184,50,117,1196,4,87,5260,2240,7039,48,80,853,1059,1678
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",292,602,219,117,4242,3120,1196,93,1253,204,3774,2648,4445,1108,540
The Time Traveler's Wife,33,1018,68,5254,4182,2382,1171,47,1964,417,2114,4074,3578,258,3250
"A Game of Thrones (A Song of Ice and Fire, #1)",3282,4708,4006,3298,9141,2852,7069,4440,4173,5254,307,8087,6557,3474,964
"Eat, Pray, Love",261,2015,659,723,3211,114,35,3443,3516,329,8659,4748,3399,2897,269
"The Lightning Thief (Percy Jackson and the Olympians, #1)",4911,4449,9331,3295,3117,1399,1504,3319,1353,3350,3910,6780,6244,1726,9636
"Little Women (Little Women, #1)",93,66,10,540,109,650,204,4,116,265,1178,230,171,451,1210
Jane Eyre,76,10,230,171,471,1088,1771,42,451,4,4653,66,63,2499,93
"The Notebook (The Notebook, #1)",269,64,455,156,78,1749,647,5305,674,75,694,3847,1130,1468,4360
Life of Pi,11,523,378,809,326,225,196,48,1310,587,930,1806,95,47,13
Water for Elephants,67,11,333,567,31,33,150,1131,57,273,5742,5932,231,4496,2114
The Book Thief,300,3206,1256,5589,67,1159,3772,33,5587,68,87,1597,11,3557,4692
Fahrenheit 451,55,13,846,14,65,809,95,271,28,298,4,119,297,877,2187
"New Moon (Twilight, #2)",992,220,3075,636,1109,1609,954,3854,9486,2749,9936,6052,1737,9500,9106
Where the Sidewalk Ends,157,545,6298,59,184,358,5972,1383,4822,158,335,364,102,391,4301
"City of Bones (The Mortal Instruments, #1)",393,2850,3704,3702,4226,4409,6834,2267,9136,830,7514,1505,9567,8170,9013
"Eclipse (Twilight, #3)",992,220,3075,636,1109,1609,954,9486,3854,2749,1737,5245,9936,9106,6052
"Eragon (The Inheritance Cycle, #1)",5414,1634,4233,923,3182,1479,1137,1399,9636,9424,3117,3295,1801,918,3974
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1800,1074,297,360,65,637,503,4326,1484,298,70,283,432,4047,9225
Brave New World,48,13,809,846,65,14,95,2187,360,173,297,28,4047,271,298
"Breaking Dawn (Twilight, #4)",992,220,636,3075,1109,1609,9486,3854,2749,3032,9500,6052,954,2331,1737
The Secret Life of Bees,409,31,515,273,33,1185,2939,11,1597,118,381,2578,136,2114,265
The Adventures of Huckleberry Finn,116,375,83,293,1178,32,413,204,778,4,730,2601,650,478,935
Charlotte's Web,158,93,545,184,335,245,444,868,999,1222,1497,540,740,639,793
The Curious Incident of the Dog in the Night-Time,557,1678,538,5535,9813,564,860,9785,2540,4934,1839,591,9509,5932,68
The Girl on the Train,2530,811,4900,2216,1433,939,262,3466,1508,2617,404,30,9942,2396,445
"The Golden Compass (His Dark Materials, #1)",918,1591,1530,1196,9424,5414,5632,1137,6891,877,1964,8893,8320,1298,223
Wuthering Heights,160,83,5,66,109,10,42,171,778,29,43,560,95,4,899
My Sister's Keeper,381,112,44,1749,107,156,57,6676,78,152,455,136,3847,1311,75
Slaughterhouse-Five,113,55,48,846,13,14,95,809,483,173,54,264,129,298,360
Gone with the Wind,42,650,33,4,93,10,265,734,109,540,225,116,1961,103,270
A Thousand Splendid Suns,46,47,8021,5932,33,31,4491,150,1131,4692,333,57,567,273,1909
The Perks of Being a Wallflower,74,564,47,147,4965,178,38,1843,2161,88,5875,6840,326,9813,1852
"Insurgent (Divergent, #2)",280,91,525,20,17,4705,507,2799,5308,259,1,1002,327,6805,2377
"Ender's Game (Ender's Saga, #1)",7113,322,8294,192,377,877,1678,2655,307,442,9848,389,910,8893,48
Frankenstein,390,97,1354,95,529,1204,597,2370,58,83,14,116,1178,699,298
The Shining (The Shining #1),1292,209,168,4642,1247,1288,1248,6280,865,915,2668,578,1715,4885,9114
"The Host (The Host, #1)",6136,4845,5251,166,7170,1355,536,655,3328,340,8151,1716,8866,4204,1737
Looking for Alaska,4166,68,564,147,1767,3919,1087,5320,47,1244,3723,1583,1575,234,6565
"Bridget Jones's Diary (Bridget Jones, #1)",78,1111,228,2610,136,1468,465,455,156,2927,64,5291,2671,9356,409
Sense and Sensibility,471,43,230,10,171,451,4653,1771,2499,42,590,3585,5931,361,160
"Holes (Holes, #1)",245,241,793,59,853,321,158,999,738,707,3120,540,184,594,93
"The Devil Wears Prada (The Devil Wears Prada, #1)",228,75,2610,136,156,455,2546,1111,647,465,108,310,1468,4732,1221
The Odyssey,341,2142,1280,1167,977,984,2366,4149,5940,3022,531,2052,2076,1521,824
