,book_id,goodreads_book_id,best_book_id,work_id,books_count,authors,original_publication_year,title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,language_code,genres
0,1,2767052,2767052,2792775,272,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,eng,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
1,2,3,3,4640799,491,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,eng,"['fantasy', 'fiction', 'young-adult', 'classics']"
2,3,41865,41865,3212258,226,Stephenie Meyer,2005,"Twilight (Twilight, #1)",3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,eng,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
3,4,2657,2657,3275794,487,Harper Lee,1960,To Kill a Mockingbird,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,eng,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
4,5,4671,4671,245494,1356,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,eng,"['classics', 'fiction', 'historical-fiction', 'romance']"
5,6,11870085,11870085,16827462,226,John Green,2012,The Fault in Our Stars,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,eng,"['young-adult', 'romance', 'fiction', 'contemporary']"
6,7,5907,5907,1540236,969,J.R.R. Tolkien,1937,The Hobbit,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,eng,"['fantasy', 'classics', 'fiction', 'young-adult']"
7,8,5107,5107,3036731,360,J.D. Salinger,1951,The Catcher in the Rye,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,eng,"['classics', 'fiction', 'young-adult']"
8,9,960,960,3338963,311,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,eng,"['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']"
9,10,1885,1885,3060926,3455,Jane Austen,1813,Pride and Prejudice,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,eng,"['classics', 'fiction', 'romance', 'historical-fiction']"
10,11,77203,77203,3295919,283,Khaled Hosseini,2003,The Kite Runner,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,eng,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
11,12,13335037,13335037,13155899,210,Veronica Roth,2011,"Divergent (Divergent, #1)",4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,eng,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
12,13,5470,5470,153313,995,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,eng,"['classics', 'fiction', 'science-fiction', 'fantasy', 'philosophy', 'books', 'horror']"
13,14,7613,7613,2207778,896,George Orwell,1945,Animal Farm,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,eng,"['classics', 'fiction', 'fantasy', 'science-fiction', 'philosophy', 'young-adult', 'historical-fiction', 'books', 'history']"
14,15,48855,48855,3532896,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,eng,"['nonfiction', 'classics', 'history', 'biography', 'memoir']"
15,16,2429135,2429135,1708725,274,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,eng,"['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']"
16,17,6148028,6148028,6171458,201,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,eng,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
17,18,5,5,2402163,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
18,19,34,34,3204327,566,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,eng,"['fantasy', 'classics', 'fiction', 'young-adult', 'books', 'science-fiction']"
19,20,7260188,7260188,8812783,239,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,eng,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
20,21,2,2,2809203,307,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
21,22,12232938,12232938,1145090,183,Alice Sebold,2002,The Lovely Bones,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,eng,"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']"
22,23,15881,15881,6231171,398,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
23,24,6,6,3046572,332,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
24,25,136251,136251,2963218,263,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
25,26,968,968,2982101,350,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,eng,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']"
26,27,1,1,41335427,275,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'classics']"
27,28,7624,7624,2766512,458,William Golding,1954,Lord of the Flies,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,eng,"['classics', 'fiction', 'young-adult']"
28,29,18135,18135,3349450,1937,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,eng,"['classics', 'fiction', 'romance', 'poetry']"
29,30,8442457,19288043,13306276,196,Gillian Flynn,2012,Gone Girl,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,eng,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
30,31,4667024,4667024,4717423,183,Kathryn Stockett,2009,The Help,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,eng,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']"
31,32,890,890,40283,373,John Steinbeck,1937,Of Mice and Men,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,eng,"['classics', 'fiction', 'historical-fiction']"
32,33,930,929,1558965,220,Arthur Golden,1997,Memoirs of a Geisha,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388367666m/930.jpg,eng,"['fiction', 'historical-fiction', 'romance', 'classics']"
33,34,10818853,10818853,15732562,169,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,eng,"['romance', 'fiction', 'contemporary', 'chick-lit']"
34,35,865,865,4835472,458,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,eng,"['fiction', 'classics', 'fantasy', 'philosophy', 'spirituality', 'self-help', 'contemporary', 'historical-fiction', 'young-adult', 'travel', 'books', 'religion']"
35,36,3636,3636,2543234,192,Lois Lowry,1993,"The Giver (The Giver, #1)",4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,eng,"['young-adult', 'fiction', 'classics', 'science-fiction', 'fantasy']"
36,37,100915,100915,4790821,474,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,eng,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
37,38,14050,18619684,2153746,167,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,eng,"['fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary', 'chick-lit']"
38,39,13496,13496,1466917,101,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,eng,"['fantasy', 'fiction']"
39,40,19501,19501,3352398,185,Elizabeth Gilbert,2006,"Eat, Pray, Love",3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,eng,"['nonfiction', 'memoir', 'travel', 'biography', 'chick-lit', 'romance', 'spirituality', 'contemporary']"
40,41,28187,28187,3346751,159,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,eng,"['fantasy', 'young-adult', 'fiction']"
